date,daily_closedPnL,daily_volume,buy_trades,sell_trades,total_trades
2023-01-05,0.0,0.25129999999999997,3,0,3
2023-05-12,0.0,11.80901,7,2,9
2024-01-01,-129.53146,4178.78664,10,8,18
2024-01-02,0.0,44986.0,6,0,6
2024-01-03,8244.241409,25984676.0,37,100,137
2024-01-04,2507.963406,9563430.3674,32,45,77
2024-01-05,0.0,29.825,14,0,14
2024-01-06,91.510419,499938.0,9,16,25
2024-01-07,5065.839308,1227237.4996,6,58,64
2024-01-08,167.080017,292827.2818435,47,10,57
2024-01-09,137.433093,5846.961139999999,7,5,12
2024-01-10,0.0,2.25636,4,0,4
2024-01-11,1040.475736,57939.29527,13,10,23
2024-01-12,40886.364494,3560119.23642001,144,272,416
2024-02-01,783.979116,208218.35486,9,8,17
2024-02-02,456.423473,42139.736820000006,19,23,42
2024-02-03,230.90060000000005,651733.0,28,3,31
2024-02-04,883.760812,5958.1049,10,31,41
2024-02-06,192.906947,31288.5,34,59,93
2024-02-07,2421.253116,11420.300000000001,13,5,18
2024-02-08,782.3681909999999,68333.3740408,42,21,63
2024-02-09,0.0,12.3657,2,0,2
2024-02-10,0.0,1.64099,4,0,4
2024-02-11,0.0,0.58072,2,0,2
2024-02-12,18489.604313,210965.83884,156,114,270
2024-03-01,866.015507,64502.1274,32,35,67
2024-03-02,223.30918699999998,9661.26755,18,38,56
2024-03-03,8361.086245,48774887.74,36,43,79
2024-03-04,126.7884,2310.0,3,1,4
2024-03-05,5306.017045,42527.4724,3,33,36
2024-03-06,562.808208,19199.3,44,26,70
2024-03-07,1118.387284,256.5812,18,0,18
2024-03-08,464.1897,71917.87894000001,36,1,37
2024-03-10,100.375782,3777.99039,6,3,9
2024-03-11,0.0,129416.61818,6,0,6
2024-03-12,23576.539285,251246.61252,170,204,374
2024-04-01,-67.60364,45.0958,2,3,5
2024-04-02,47.62389499999999,20905.14109,19,16,35
2024-04-03,27799.775742,36892599.52038,161,139,300
2024-04-04,0.0,28.284299999999998,0,32,32
2024-04-05,0.0,579928.2829,0,9,9
2024-04-06,52.211438,2483.33818,25,28,53
2024-04-07,0.0,302.9901,25,0,25
2024-04-08,-122672.000883,227049.7193107,60,67,127
2024-04-09,1065.785132,52210.38311,31,3,34
2024-04-10,0.0,307.367829,0,1,1
2024-04-11,2799.410474,129421.2777,13,23,36
2024-04-12,292891.815021,13484938.200452391,96,223,319
2024-05-01,164.141565,251.80766,31,35,66
2024-05-02,-33.45419400000003,29741.6286,33,39,72
2024-05-03,19791.026041,44987293.0,55,125,180
2024-05-04,10706.484306,208515.2373,17,83,100
2024-05-05,0.916,15.6288,1,5,6
2024-05-06,56.055506,2452.07392,17,37,54
2024-05-07,0.0,5354.8189999999995,32,0,32
2024-05-08,-13013.665169,422142.75432,41,39,80
2024-05-09,0.0,10818.93703,0,1,1
2024-05-10,5767.161892,2278.873416,9,28,37
2024-05-11,678.4759280000001,2.96249,5,5,10
2024-05-12,71574.11848800001,75629.96987,192,264,456
2024-06-01,135.58166400000002,7077.42664,11,11,22
2024-06-02,-215.615907,55455572.2847,518,570,1088
2024-06-03,6814.825139,10955146.0,49,33,82
2024-06-04,236.33513399999998,20.4808,0,16,16
2024-06-05,968.59038,66.07939999999999,8,1,9
2024-06-06,274.173187,71093.724,102,132,234
2024-06-07,108.87217799999999,983577.0,17,7,24
2024-06-08,267.318048,305641.96643,76,31,107
2024-06-09,-1104.856765,1449.6331,4,38,42
2024-06-10,130.487079,4.8180499999999995,6,16,22
2024-06-11,2817.83723,11683.6737,6,9,15
2024-06-12,-92624.643895,108676.63024,205,198,403
2024-07-01,-835.681235,165182.52107,52,45,97
2024-07-02,241.24212,13261.9,7,8,15
2024-07-04,0.0,14.7128,0,23,23
